Files already downloaded and verified
torch.Size([1024, 3, 32, 32]) torch.Size([1024])
--------------------------------------------------------------------------------
validating pair distance...
--------------------------------------------------------------------------------

step: 670, attack: 0.87, loss: 2.34, ce: 0.32, reg: 33.47, reg_best: 32.09  
step: 680, attack: 0.91, loss: 2.19, ce: 0.30, reg: 33.81, reg_best: 32.09  
step: 690, attack: 0.91, loss: 2.16, ce: 0.32, reg: 32.91, reg_best: 32.09  
step: 700, attack: 0.93, loss: 2.17, ce: 0.34, reg: 33.08, reg_best: 32.09  
step: 710, attack: 0.95, loss: 2.34, ce: 0.23, reg: 36.86, reg_best: 32.09  
step: 720, attack: 0.90, loss: 2.17, ce: 0.39, reg: 32.36, reg_best: 32.09  
step: 730, attack: 0.91, loss: 2.16, ce: 0.32, reg: 33.04, reg_best: 32.09  
step: 740, attack: 0.82, loss: 2.59, ce: 0.37, reg: 33.67, reg_best: 31.77  
step: 750, attack: 0.94, loss: 2.32, ce: 0.26, reg: 36.61, reg_best: 31.77  
step: 760, attack: 0.95, loss: 2.21, ce: 0.28, reg: 34.08, reg_best: 31.77  
step: 770, attack: 0.88, loss: 2.64, ce: 0.30, reg: 35.14, reg_best: 31.77  
step: 780, attack: 0.84, loss: 2.29, ce: 0.35, reg: 32.75, reg_best: 31.77  
step: 790, attack: 0.89, loss: 2.41, ce: 0.25, reg: 36.25, reg_best: 31.77  
step: 800, attack: 0.89, loss: 2.19, ce: 0.40, reg: 32.40, reg_best: 31.77  
